ID,Comment,Label,Subject
220,"""มีโอกาสได้ลองใช้คำสั่ง Linux จริง""",Positive,ระบบปฏิบัติการ
221,"""ความรู้ที่ได้สามารถนำไปใช้ในการเขียนโปรแกรมระบบได้""",Positive,ระบบปฏิบัติการ
222,"""ได้เรียนรู้การจัดการทรัพยากรของระบบ""",Positive,ระบบปฏิบัติการ
223,"""รู้สึกสนุกกับการทำความเข้าใจปัญหา Deadlock""",Positive,ระบบปฏิบัติการ
224,"""ตัวอย่างที่เกี่ยวกับการทำงานของ Paging และ Segmentation มีประโยชน์""",Positive,ระบบปฏิบัติการ
225,"""มีการอภิปรายในคลาสที่ช่วยเสริมสร้างความเข้าใจ""",Positive,ระบบปฏิบัติการ
226,"""ได้ทดลองเขียนโปรแกรมที่เชื่อมต่อกับระบบปฏิบัติการ""",Positive,ระบบปฏิบัติการ
227,"""การทำงานของ Kernel ซับซ้อนและยากที่จะเข้าใจ""",Negative,ระบบปฏิบัติการ
228,"""อาจารย์อธิบายเรื่อง Paging ได้ไม่ชัดเจน""",Negative,ระบบปฏิบัติการ
229,"""รู้สึกว่าส่วน Multithreading เข้าใจยาก""",Negative,ระบบปฏิบัติการ
230,"""การบ้านในเรื่อง Synchronization มีความซับซ้อนมาก""",Negative,ระบบปฏิบัติการ
231,"""ไม่มีตัวอย่างที่ชัดเจนเกี่ยวกับ Deadlock""",Negative,ระบบปฏิบัติการ
232,"""รู้สึกว่าเนื้อหาในหัวข้อ File System ยากเกินไป""",Negative,ระบบปฏิบัติการ
233,"""บางครั้งอาจารย์สอนเร็วเกินไปจนตามไม่ทัน""",Negative,ระบบปฏิบัติการ
234,"""การทำ Context Switching ไม่ได้ถูกอธิบายอย่างละเอียด""",Negative,ระบบปฏิบัติการ
235,"""การทดลองในห้องปฏิบัติการไม่สอดคล้องกับเนื้อหาที่เรียน""",Negative,ระบบปฏิบัติการ
236,"""อาจารย์ไม่มีเวลาตอบคำถามของนักศึกษาในคลาส""",Negative,ระบบปฏิบัติการ
237,"""เนื้อหาเรื่อง Virtual Memory ซับซ้อนเกินไป""",Negative,ระบบปฏิบัติการ
238,"""การบ้านบางครั้งใช้เวลาทำนานเกินไป""",Negative,ระบบปฏิบัติการ
239,"""ไม่มีคำแนะนำที่ชัดเจนในการแก้ไขปัญหาในระบบปฏิบัติการ""",Negative,ระบบปฏิบัติการ
240,"""การจัดการหน่วยความจำยังคงเข้าใจยาก""",Negative,ระบบปฏิบัติการ
241,"""รู้สึกว่าเนื้อหาไม่ครอบคลุมทุกมิติของระบบปฏิบัติการ""",Negative,ระบบปฏิบัติการ
242,"""คำศัพท์ทางเทคนิคที่ใช้ในวิชานี้ยากเกินไป""",Negative,ระบบปฏิบัติการ
243,"""อาจารย์ไม่ได้ยกตัวอย่างที่เกี่ยวข้องกับระบบปฏิบัติการจริง""",Negative,ระบบปฏิบัติการ
244,"""การบ้านบางครั้งไม่มีคำอธิบายที่ชัดเจน""",Negative,ระบบปฏิบัติการ
245,"""ระบบปฏิบัติการที่เรียนไม่ตรงกับที่ใช้งานในชีวิตจริง""",Negative,ระบบปฏิบัติการ
246,"""ไม่มีโอกาสได้ลองใช้งานระบบปฏิบัติการที่หลากหลาย""",Negative,ระบบปฏิบัติการ
247,"""รู้สึกว่าการจัดลำดับเนื้อหาในคลาสไม่ดี""",Negative,ระบบปฏิบัติการ
248,"""ตัวอย่างในคลาสไม่ช่วยให้เข้าใจการทำงานของ CPU Scheduler""",Negative,ระบบปฏิบัติการ
249,"""ขาดสื่อการสอนที่ช่วยเสริมความเข้าใจ""",Negative,ระบบปฏิบัติการ
250,"""การสอบมีคำถามที่ยากและซับซ้อนเกินไป""",Negative,ระบบปฏิบัติการ
251,"""ขาดการเชื่อมโยงเนื้อหาเข้ากับการใช้งานจริง""",Negative,ระบบปฏิบัติการ
